!----------------------------------------------------------------------------------
! This is comment line
! Line start with ! or blank line will be ignored by the program
!--------------------------------------------------------------------------------------
!Parameter    AtLine         StartPosition  EndPosition   RoundUp    AbsoluteMin   AbsoluteMin
!--------------------------------------------------------------------------------------
CH_WDR.rte       10              1              14            3          0.0	   10000.0
ALPHA_BNK.rte    11              1              14            3          0.0	       1.0
ICANAL.rte       12              1              14            2          0.0	       1.0
CH_ONCO.rte      13              1              14            2          0.0	     100.0
CH_OPCO.rte      14              1              14            2          0.0	   	 100.0	
CH_SIDE.rte      15              1              14            2          0.0           5.0
CH_BNK_BD.rte    16              1              14            2          1.1	       1.9
CH_BED_BD.rte    17              1              14            2          1.1	       1.9	
CH_BNK_KD.rte    18              1              14            2          0.001         3.75
CH_BED_KD.rte    19              1              14            2          0.001         3.75
CH_BNK_D50.rte   20              1              14            2          1.0	   10000.0
CH_BED_D50.rte   21              1              14            2          1.0	   10000.0
CH_BNK_TC.rte    22              1              14            2          0.0	     400.0
CH_BED_TC.rte    23              1              14            2          0.0	     400.0
CH_ERODMO.rte    24              1               6            2          0.0	       1.0	
CH_EQN.rte       25              1              14            0          0.0	       4.0
!-----------------------------------------------------------------------------------------
NMGT.mgt          2              1              16            0         0.0	           Inf
IGRO.mgt          4              1              16            0         0.0            1.0	    
PLANT_ID.mgt      5              1              16            0         0.0	           Inf   
LAI_INIT.mgt      6              1              16            2         0.0	           Inf
BIO_INIT.mgt      7              1              16            2         0.0	           Inf
PHU_PLT.mgt       8              1              16            2         0.0         3500.0
BIOMIX.mgt       10              1              16            2         0.0            1.0
CN2.mgt          11              1              16            2        35.0           98.0
USLE_P.mgt       12              1              16            2         0.0            1.0
BIO_MIN.mgt      13              1              16            2         0.0         5000.0
FILTERW.mgt      14              1              16            3         0.0	           Inf
IURBAN.mgt       16              1              16            0         0.0	           Inf
URBLU.mgt        17              1              16            0         0.0	           Inf
IRRSC.mgt        19              1              16            0         0.0	           Inf
IRRNO.mgt        20              1              16            0         0.0	           Inf
FLOWMIN.mgt      21              1              16            3         0.0	           Inf
DIVMAX.mgt       22              1              16            3         0.0	           Inf
FLOWFR.mgt       23              1              16            3         0.0	           Inf
DDRAIN.mgt       25              1              16            3         0.0	           Inf
TDRAIN.mgt       26              1              16            3         0.0	           Inf
GDRAIN.mgt       27              1              16            3         0.0	           Inf
NROT.mgt         29              1              16            0         0.0	           Inf
